;counts1;time1;counts2;time2;measurement time [s];rate Cosmic [Hz];rate PIN [Hz]
142;143.0;794.784;143.0;2787.635;;;
143;144.0;797.26;144.0;2795.2729;;;
144;145.0;801.775;145.0;2810.6201;;;
145;146.0;801.842;146.0;2824.009;;;
146;147.0;801.953;147.0;2828.9318;;;
147;148.0;811.783;148.0;2846.874;;;
148;149.0;812.693;149.0;2877.4289;;;
149;150.0;818.552;150.0;2883.841;;;
150;151.0;821.87;151.0;2895.4699;;;
151;152.0;829.315;152.0;2911.3911;;;
152;153.0;832.487;153.0;2911.7419;;;
153;154.0;834.653;154.0;2925.2399;;;
154;155.0;836.647;155.0;2960.6379;;;
155;156.0;836.973;156.0;2967.757;;;
156;157.0;839.965;157.0;2986.987;;;
157;158.0;843.286;158.0;3030.1269;;;
158;159.0;843.712;159.0;3051.5148;;;
159;160.0;843.927;160.0;3065.507;;;
160;161.0;853.588;161.0;3066.362;;;
161;162.0;857.425;162.0;3131.364;;;
162;163.0;861.506;163.0;3131.3649;;;
163;164.0;862.514;164.0;3131.3669;;;
164;165.0;872.461;165.0;3136.5319;;;
165;166.0;875.489;166.0;3186.498;;;
166;167.0;875.617;167.0;3202.1149;;;
167;168.0;876.711;168.0;3227.3649;;;
168;169.0;880.676;169.0;3247.5639;;;
169;170.0;883.308;170.0;3248.09;;;
170;171.0;887.367;171.0;3304.0979;;;
171;172.0;898.382;172.0;3304.9309;;;
172;173.0;902.636;173.0;3308.164;;;
173;174.0;908.523;174.0;3316.1589;;;
174;175.0;918.749;175.0;3329.0739;;;
175;176.0;921.35;176.0;3334.5039;;;
176;177.0;924.482;177.0;3334.5859;;;
177;178.0;927.193;178.0;3340.6169;;;
178;179.0;932.886;179.0;3342.187;;;
179;180.0;936.277;180.0;3343.228;;;
180;181.0;938.509;181.0;3404.0668;;;
181;182.0;952.679;182.0;3406.4589;;;
182;183.0;967.627;183.0;3423.144;;;
183;184.0;973.606;184.0;3455.2019;;;
184;185.0;974.495;185.0;3473.1989;;;
185;186.0;987.205;186.0;3489.8701;;;
186;187.0;989.832;187.0;3493.913;;;
187;188.0;991.707;188.0;3502.134;;;
188;189.0;994.306;189.0;3545.2219;;;
189;190.0;997.208;190.0;3565.7529;;;
190;191.0;997.711;191.0;3613.947;;;
191;192.0;998.628;192.0;3624.446;;;
192;193.0;1005.97;193.0;3634.2639;;;
193;194.0;1010.416;194.0;3634.4899;;;
194;195.0;1019.351;195.0;3677.571;;;
195;196.0;1023.704;196.0;3719.996;;;
196;197.0;1028.6409;197.0;3742.5791;;;
197;198.0;1031.5279;198.0;3745.746;;;
198;199.0;1045.7299;199.0;3748.7519;;;
199;200.0;1061.4019;200.0;3754.936;;;
200;201.0;1079.645;201.0;3772.041;;;
201;202.0;1079.75;202.0;3772.1049;;;
202;203.0;1081.3289;203.0;3795.301;;;
203;204.0;1081.5;204.0;3813.361;;;
204;205.0;1087.6739;205.0;3880.842;;;
205;206.0;1091.9229;206.0;3971.727;;;
206;207.0;1092.383;207.0;4018.104;;;
207;208.0;1093.483;208.0;4018.385;;;
208;209.0;1096.3859;209.0;4120.184;;;
209;210.0;1100.9649;210.0;4280.935;;;
210;211.0;1103.394;211.0;4295.6928;;;
211;212.0;1108.8719;212.0;4318.8969;;;
212;213.0;1117.416;213.0;4320.7661;;;
213;214.0;1118.4539;214.0;4354.7841;;;
214;215.0;1137.5889;215.0;4405.4458;;;
