;counts1;time1;counts2;time2;measurement time [s];rate Cosmic [Hz];rate PIN [Hz]
0;1.0;3.354;1.0;21.936;1953.0;0.11162314388120839;0.0445468509984639
1;2.0;3.822;2.0;28.801;;;
2;3.0;5.995;3.0;70.765;;;
3;4.0;8.373;4.0;76.123;;;
4;5.0;8.72;5.0;96.294;;;
5;6.0;8.938;6.0;128.865;;;
6;7.0;9.812;7.0;131.675;;;
7;8.0;17.981;8.0;156.817;;;
8;9.0;18.394;9.0;168.081;;;
9;10.0;18.542;10.0;180.261;;;
10;11.0;26.386;11.0;184.352;;;
11;12.0;35.663;12.0;189.599;;;
12;13.0;39.655;13.0;195.404;;;
13;14.0;41.906;14.0;195.698;;;
14;15.0;43.791;15.0;218.741;;;
15;16.0;48.374;16.0;252.302;;;
16;17.0;50.554;17.0;287.386;;;
17;18.0;61.187;18.0;307.34;;;
18;19.0;68.624;19.0;310.863;;;
19;20.0;72.594;20.0;318.84;;;
20;21.0;75.335;21.0;359.228;;;
21;22.0;75.418;22.0;380.641;;;
22;23.0;76.234;23.0;429.504;;;
23;24.0;78.291;24.0;441.223;;;
24;25.0;78.569;25.0;450.483;;;
25;26.0;83.659;26.0;472.252;;;
26;27.0;86.192;27.0;499.374;;;
27;28.0;86.807;28.0;519.288;;;
28;29.0;86.813;29.0;525.363;;;
29;30.0;90.927;30.0;540.616;;;
30;31.0;101.854;31.0;552.684;;;
31;32.0;108.305;32.0;556.477;;;
32;33.0;111.489;33.0;575.147;;;
33;34.0;117.354;34.0;585.671;;;
34;35.0;125.348;35.0;586.225;;;
35;36.0;128.434;36.0;609.357;;;
36;37.0;135.491;37.0;648.262;;;
37;38.0;136.986;38.0;684.782;;;
38;39.0;137.278;39.0;727.996;;;
39;40.0;142.963;40.0;749.359;;;
40;41.0;144.661;41.0;752.829;;;
41;42.0;155.947;42.0;761.532;;;
42;43.0;163.708;43.0;763.941;;;
43;44.0;165.432;44.0;767.501;;;
44;45.0;176.756;45.0;790.411;;;
45;46.0;178.232;46.0;832.502;;;
46;47.0;179.967;47.0;872.598;;;
47;48.0;182.94;48.0;892.738;;;
48;49.0;192.196;49.0;910.407;;;
49;50.0;193.714;50.0;924.085;;;
50;51.0;199.88;51.0;930.942;;;
51;52.0;202.548;52.0;931.469;;;
52;53.0;204.262;53.0;967.65;;;
53;54.0;205.183;54.0;973.65;;;
54;55.0;206.409;55.0;1005.433;;;
55;56.0;225.564;56.0;1031.864;;;
56;57.0;226.943;57.0;1079.384;;;
57;58.0;237.211;58.0;1093.196;;;
58;59.0;246.704;59.0;1146.4809;;;
59;60.0;257.971;60.0;1156.4649;;;
60;61.0;262.239;61.0;1188.956;;;
61;62.0;263.894;62.0;1198.6269;;;
62;63.0;273.585;63.0;1229.7509;;;
63;64.0;274.497;64.0;1231.989;;;
64;65.0;277.81;65.0;1253.28;;;
65;66.0;280.34;66.0;1285.01;;;
66;67.0;283.904;67.0;1288.8459;;;
67;68.0;286.872;68.0;1293.6519;;;
68;69.0;289.547;69.0;1318.9499;;;
69;70.0;302.397;70.0;1341.733;;;
70;71.0;302.456;71.0;1344.3869;;;
71;72.0;303.863;72.0;1388.4429;;;
72;73.0;314.587;73.0;1405.7349;;;
73;74.0;316.523;74.0;1419.2729;;;
74;75.0;318.511;75.0;1434.0999;;;
75;76.0;321.988;76.0;1505.0169;;;
76;77.0;331.397;77.0;1520.1309;;;
77;78.0;333.635;78.0;1577.144;;;
78;79.0;335.34;79.0;1582.7419;;;
79;80.0;342.498;80.0;1620.89;;;
80;81.0;344.609;81.0;1655.837;;;
81;82.0;352.834;82.0;1697.472;;;
82;83.0;361.674;83.0;1813.889;;;
83;84.0;367.427;84.0;1840.4479;;;
84;85.0;369.28;85.0;1844.014;;;
85;86.0;371.993;86.0;1845.264;;;
86;87.0;376.945;87.0;1877.154;;;
87;88.0;381.712;;;;;
88;89.0;386.692;;;;;
89;90.0;387.338;;;;;
90;91.0;388.43;;;;;
91;92.0;390.352;;;;;
92;93.0;391.714;;;;;
93;94.0;398.23;;;;;
94;95.0;399.562;;;;;
95;96.0;415.739;;;;;
96;97.0;423.972;;;;;
97;98.0;425.411;;;;;
98;99.0;427.546;;;;;
99;100.0;429.92;;;;;
100;101.0;433.399;;;;;
101;102.0;434.759;;;;;
102;103.0;450.822;;;;;
103;104.0;452.904;;;;;
104;105.0;453.423;;;;;
105;106.0;457.279;;;;;
106;107.0;460.613;;;;;
107;108.0;463.553;;;;;
108;109.0;465.833;;;;;
109;110.0;466.39;;;;;
110;111.0;468.812;;;;;
111;112.0;473.731;;;;;
112;113.0;474.633;;;;;
113;114.0;474.89;;;;;
114;115.0;475.368;;;;;
115;116.0;489.229;;;;;
116;117.0;491.49;;;;;
117;118.0;495.94;;;;;
118;119.0;496.417;;;;;
119;120.0;506.774;;;;;
120;121.0;516.441;;;;;
121;122.0;517.419;;;;;
122;123.0;520.218;;;;;
123;124.0;525.503;;;;;
124;125.0;529.266;;;;;
125;126.0;529.918;;;;;
126;127.0;536.23;;;;;
127;128.0;537.192;;;;;
128;129.0;539.414;;;;;
129;130.0;546.522;;;;;
130;131.0;550.882;;;;;
131;132.0;554.337;;;;;
132;133.0;562.724;;;;;
133;134.0;566.622;;;;;
134;135.0;579.583;;;;;
135;136.0;584.863;;;;;
136;137.0;594.298;;;;;
137;138.0;595.492;;;;;
138;139.0;597.971;;;;;
139;140.0;600.971;;;;;
140;141.0;605.949;;;;;
141;142.0;611.473;;;;;
142;143.0;612.296;;;;;
143;144.0;615.862;;;;;
144;145.0;620.663;;;;;
145;146.0;624.813;;;;;
146;147.0;627.315;;;;;
147;148.0;629.98;;;;;
148;149.0;634.955;;;;;
149;150.0;637.804;;;;;
150;151.0;640.22;;;;;
151;152.0;642.438;;;;;
152;153.0;644.629;;;;;
153;154.0;644.862;;;;;
154;155.0;652.719;;;;;
155;156.0;659.562;;;;;
156;157.0;665.995;;;;;
157;158.0;669.785;;;;;
158;159.0;671.429;;;;;
159;160.0;673.183;;;;;
160;161.0;676.884;;;;;
161;162.0;680.483;;;;;
162;163.0;681.39;;;;;
163;164.0;681.852;;;;;
164;165.0;682.944;;;;;
165;166.0;685.684;;;;;
166;167.0;685.967;;;;;
167;168.0;689.588;;;;;
168;169.0;690.885;;;;;
169;170.0;697.283;;;;;
170;171.0;697.887;;;;;
171;172.0;704.669;;;;;
172;173.0;711.75;;;;;
173;174.0;717.407;;;;;
174;175.0;718.291;;;;;
175;176.0;723.441;;;;;
176;177.0;724.614;;;;;
177;178.0;728.973;;;;;
178;179.0;732.595;;;;;
179;180.0;739.322;;;;;
180;181.0;741.666;;;;;
181;182.0;746.947;;;;;
182;183.0;747.69;;;;;
183;184.0;753.966;;;;;
184;185.0;755.861;;;;;
185;186.0;758.31;;;;;
186;187.0;764.761;;;;;
187;188.0;779.325;;;;;
188;189.0;780.284;;;;;
189;190.0;782.282;;;;;
190;191.0;787.685;;;;;
191;192.0;794.29;;;;;
192;193.0;799.416;;;;;
193;194.0;805.932;;;;;
194;195.0;806.338;;;;;
195;196.0;826.302;;;;;
196;197.0;845.531;;;;;
197;198.0;845.563;;;;;
198;199.0;848.767;;;;;
199;200.0;850.405;;;;;
200;201.0;856.699;;;;;
201;202.0;869.249;;;;;
202;203.0;872.918;;;;;
203;204.0;873.368;;;;;
204;205.0;881.437;;;;;
205;206.0;889.394;;;;;
206;207.0;892.241;;;;;
207;208.0;893.602;;;;;
208;209.0;897.9;;;;;
209;210.0;902.925;;;;;
210;211.0;913.589;;;;;
211;212.0;916.403;;;;;
212;213.0;921.617;;;;;
213;214.0;922.201;;;;;
214;215.0;922.371;;;;;
215;216.0;926.382;;;;;
216;217.0;928.657;;;;;
217;218.0;934.45;;;;;
