;counts1;time1;counts2;time2
0;1.0;0.409;1.0;34.593
1;2.0;1.897;2.0;34.595
2;3.0;3.493;3.0;34.624
3;4.0;5.935;4.0;44.335
4;5.0;5.966;5.0;46.951
5;6.0;12.665;6.0;47.765
6;7.0;14.275;7.0;50.163
