;counts1;time1;counts2;time2;measurement time [s];rate Cosmic [Hz];rate PIN [Hz]
156;157.0;746.67;;;;;
157;158.0;780.669;;;;;
158;159.0;787.718;;;;;
159;160.0;792.73;;;;;
160;161.0;794.904;;;;;
161;162.0;806.439;;;;;
162;163.0;810.563;;;;;
163;164.0;812.654;;;;;
164;165.0;817.821;;;;;
165;166.0;828.741;;;;;
166;167.0;836.788;;;;;
167;168.0;840.868;;;;;
168;169.0;843.393;;;;;
169;170.0;845.253;;;;;
170;171.0;852.709;;;;;
171;172.0;853.727;;;;;
172;173.0;855.771;;;;;
173;174.0;858.994;;;;;
174;175.0;859.277;;;;;
175;176.0;862.693;;;;;
176;177.0;869.792;;;;;
177;178.0;870.356;;;;;
178;179.0;872.348;;;;;
179;180.0;872.53;;;;;
180;181.0;876.673;;;;;
181;182.0;878.615;;;;;
182;183.0;881.852;;;;;
183;184.0;883.39;;;;;
184;185.0;888.302;;;;;
185;186.0;891.939;;;;;
186;187.0;898.939;;;;;
187;188.0;901.735;;;;;
188;189.0;905.281;;;;;
189;190.0;910.808;;;;;
190;191.0;923.388;;;;;
191;192.0;925.969;;;;;
192;193.0;935.75;;;;;
193;194.0;936.315;;;;;
194;195.0;936.637;;;;;
195;196.0;937.543;;;;;
196;197.0;940.677;;;;;
197;198.0;951.232;;;;;
198;199.0;962.461;;;;;
199;200.0;982.435;;;;;
200;201.0;987.437;;;;;
201;202.0;987.532;;;;;
202;203.0;996.716;;;;;
203;204.0;1012.241;;;;;
204;205.0;1013.194;;;;;
205;206.0;1019.554;;;;;
206;207.0;1019.978;;;;;
207;208.0;1024.3959;;;;;
208;209.0;1030.717;;;;;
209;210.0;1033.9689;;;;;
210;211.0;1037.63;;;;;
211;212.0;1041.651;;;;;
212;213.0;1046.2829;;;;;
213;214.0;1064.2829;;;;;
214;215.0;1064.8719;;;;;
215;216.0;1067.5469;;;;;
